index,success
216938,False
569620,False
570620,False
570621,False
570622,False
570623,False
570624,False
570625,False
570626,False
570627,False
570628,False
570629,False
570630,False
570631,False
570632,False
570633,False
570634,False
570635,False
570636,False
570637,False
570638,False
570639,False
570640,False
570641,False
571030,False
571031,False
571570,False
572230,False
572370,False
572390,False
572600,False
573220,False
573230,False
573510,False
573511,False
573512,False
573513,False
573540,False
574300,False
574340,False
574390,False
575160,False
575302,False
576440,False
576970,False
577450,False
578290,False
578600,False
579504,False
579505,False
579506,False
579507,False
579508,False
579530,False
579800,False
580090,False
660010,False
660130,False
